1  1390.68	2.219358e+00	1.240216e-01	1.042024e+00	3.048924e+00	9.555530e-01	5.181082e-02	5.589868e+01	6.247954e-01	5.401317e+00	2.739125e+02	5.702283e+01	4.983263e+01	1.090808e+02	2.627722e+00	8.928804e+00	1.214061e+01	1.909909e+01	8.674680e+01	9.440009e-02	1.357597e-01	4.871877e-01	2.524545e-01	6.775164e-01	2.145279e+00	9.992539e+02	9.979213e+02	1.000113e+00	7.535995e+00	6.616287e-01	2.477642e-01	6.588818e+01	2.109264e+00	8.230508e-01	
5  1387.55	2.224415e+00	1.222299e-01	1.041935e+00	3.062230e+00	9.621021e-01	5.885795e-02	5.462160e+01	6.669811e-01	5.716597e+00	2.676751e+02	5.540570e+01	5.077630e+01	1.112375e+02	1.839353e+00	8.953909e+00	1.198084e+01	1.900655e+01	8.735785e+01	9.393017e-02	1.354857e-01	4.883282e-01	2.501070e-01	6.766547e-01	2.140183e+00	9.992517e+02	9.978935e+02	1.002124e+00	8.220352e+00	6.719319e-01	2.477859e-01	6.651707e+01	2.137517e+00	8.245984e-01	
2  1389.72	2.224415e+00	1.222299e-01	1.041935e+00	3.062230e+00	9.621021e-01	5.885795e-02	4.980139e+01	8.205139e-01	5.051484e+00	2.577494e+02	5.331509e+01	5.028999e+01	1.175088e+02	3.697271e+00	9.413340e+00	1.101338e+01	1.815780e+01	8.729299e+01	7.831202e-02	1.538908e-01	5.062690e-01	2.628921e-01	6.219939e-01	2.214852e+00	9.989348e+02	9.977273e+02	1.002336e+00	8.220352e+00	6.719319e-01	2.477859e-01	6.651707e+01	2.137517e+00	8.245984e-01	
2  1389.64	2.224415e+00	1.222299e-01	1.041935e+00	3.062230e+00	9.621021e-01	5.885795e-02	4.989148e+01	9.618188e-01	4.378773e+00	2.640184e+02	5.732118e+01	5.558287e+01	1.212103e+02	2.271751e+00	7.986080e+00	9.957742e+00	1.582775e+01	8.404871e+01	6.433152e-02	1.518852e-01	5.668035e-01	2.641760e-01	6.577949e-01	2.163382e+00	9.994198e+02	9.974209e+02	1.001604e+00	8.220352e+00	6.719319e-01	2.477859e-01	6.651707e+01	2.137517e+00	8.245984e-01	
5  1391.98	2.224415e+00	1.222299e-01	1.041935e+00	3.062230e+00	9.621021e-01	5.885795e-02	5.246662e+01	8.188037e-01	3.397579e+00	2.686837e+02	5.533141e+01	4.801362e+01	1.144095e+02	3.464484e+00	7.648225e+00	1.026893e+01	1.485219e+01	8.304547e+01	4.262835e-02	1.516509e-01	6.114192e-01	2.751730e-01	6.957953e-01	2.039522e+00	9.994155e+02	9.975339e+02	1.001800e+00	8.220352e+00	6.719319e-01	2.477859e-01	6.651707e+01	2.137517e+00	8.245984e-01	
18  1391.97	2.224415e+00	1.222299e-01	1.041935e+00	3.062230e+00	9.621021e-01	5.885795e-02	5.279338e+01	8.790399e-01	3.334923e+00	2.774848e+02	5.809537e+01	5.206645e+01	1.165398e+02	2.339278e+00	7.641956e+00	1.102795e+01	1.493368e+01	8.297946e+01	5.002120e-02	1.578721e-01	5.592604e-01	2.707718e-01	7.318516e-01	1.918899e+00	9.993471e+02	9.974892e+02	1.001809e+00	8.220352e+00	6.719319e-01	2.477859e-01	6.651707e+01	2.137517e+00	8.245984e-01	
2  1394.15	2.224415e+00	1.222299e-01	1.041935e+00	3.062230e+00	9.621021e-01	5.885795e-02	4.695219e+01	8.938720e-01	4.355685e+00	2.694333e+02	5.803006e+01	5.573852e+01	1.256241e+02	2.783604e+00	6.643833e+00	1.107733e+01	1.595718e+01	8.657654e+01	4.147470e-02	1.513447e-01	6.137805e-01	2.714681e-01	7.518091e-01	2.090096e+00	9.990365e+02	9.969196e+02	1.002091e+00	8.220352e+00	6.719319e-01	2.477859e-01	6.651707e+01	2.137517e+00	8.245984e-01	
21  1394.19	2.224415e+00	1.222299e-01	1.041935e+00	3.062230e+00	9.621021e-01	5.885795e-02	4.066743e+01	8.999911e-01	5.186473e+00	2.512978e+02	5.575885e+01	5.778743e+01	1.347333e+02	1.623314e+00	6.375240e+00	1.160552e+01	1.799384e+01	9.348872e+01	3.111933e-02	1.482693e-01	5.792681e-01	2.618168e-01	6.964766e-01	1.989770e+00	9.989943e+02	9.971721e+02	1.002124e+00	8.220352e+00	6.719319e-01	2.477859e-01	6.651707e+01	2.137517e+00	8.245984e-01	
1  1393.83	2.224415e+00	1.222299e-01	1.041935e+00	3.062230e+00	9.621021e-01	5.885795e-02	4.393589e+01	9.608441e-01	6.713295e+00	2.457434e+02	5.312629e+01	6.097574e+01	1.294934e+02	1.002477e+00	5.303366e+00	1.255668e+01	1.911390e+01	9.290678e+01	3.254518e-02	1.250893e-01	5.380238e-01	2.719521e-01	6.403971e-01	1.914662e+00	9.989844e+02	9.974857e+02	1.002139e+00	8.220352e+00	6.719319e-01	2.477859e-01	6.651707e+01	2.137517e+00	8.245984e-01	
15  1394.06	2.224415e+00	1.222299e-01	1.041935e+00	3.062230e+00	9.621021e-01	5.885795e-02	4.234606e+01	9.691064e-01	6.446049e+00	2.239067e+02	5.028149e+01	6.162598e+01	1.314579e+02	6.222880e-01	6.758125e+00	1.262343e+01	1.870685e+01	9.486410e+01	5.663592e-02	1.256588e-01	4.892805e-01	2.488112e-01	6.757519e-01	1.839193e+00	9.986579e+02	9.975796e+02	1.002017e+00	8.220352e+00	6.719319e-01	2.477859e-01	6.651707e+01	2.137517e+00	8.245984e-01	
